departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,KL,1000,LHR,AMS,LANDED,1517466600,1517466600,1517472000,1517471100
2018-02-01,AY,5525,LHR,SFO,LANDED,1517482200,1517482800,1517523000,1517523720
2018-02-01,UA,6844,LHR,WAW,LANDED,1517508900,1517508420,1517518500,1517516880
2018-02-01,SA,7969,LHR,ARN,LANDED,1517508300,1517508840,1517517300,1517516400
2018-02-01,AF,1281,LHR,CDG,LANDED,1517506500,1517506320,1517511000,1517510220
2018-02-01,AA,6421,LHR,MCT,LANDED,1517514300,1517515440,1517541000,1517542020
2018-02-01,MS,9600,LHR,YUL,LANDED,1517490000,1517490240,1517516700,1517517660
2018-02-01,IB,5621,LHR,BCN,LANDED,1517503500,1517504280,1517511300,1517510640
2018-02-01,GF,6651,LHR,DFW,LANDED,1517479800,1517480400,1517517300,1517517660
2018-02-01,AA,6568,LHR,GLA,LANDED,1517504100,1517504580,1517509200,1517509860
2018-02-01,LH,903,LHR,FRA,LANDED,1517481000,1517481480,1517486700,1517486040
2018-02-01,EK,2,LHR,DXB,LANDED,1517492400,1517492340,1517517600,1517517240
2018-02-01,WY,104,LHR,MCT,LANDED,1517473500,1517475000,1517500500,1517502000
2018-02-01,AA,7440,LHR,KUL,LANDED,1517479200,1517479500,1517526000,null
2018-02-01,EI,8803,LHR,YYC,LANDED,1517492100,1517492160,1517525100,1517525460
2018-02-01,BA,348,LHR,NCE,LANDED,1517505000,1517506020,1517512500,1517513940
2018-02-01,IB,4657,LHR,IAD,LANDED,1517504400,1517504400,1517535000,1517534880
2018-02-01,JL,7729,LHR,VIE,LANDED,1517510400,1517510280,1517518500,1517517720
2018-02-01,GF,6847,LHR,ORD,LANDED,1517485800,1517485440,1517517900,1517517720
2018-02-01,RJ,7101,LHR,JFK,LANDED,1517505300,1517504400,1517534700,1517534460
